fit_id,db_name,trial_start,trial_stop,num_trials,script_name,commit,fit_model,ref_model,disc,fit_method
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.0513,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.8417,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.1370,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.2163,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.4411,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.6914,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.7950,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,3.9310,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.9840,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.2473,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,3.0408,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.7614,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.9825,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.3321,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.9112,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.2926,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.0315,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.9220,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.0918,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.0413,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.5924,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.5119,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,13.0233,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.2421,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,11.7729,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.2511,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.4536,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.8617,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.2221,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.1115,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.3618,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.1125,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.9512,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.6219,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.8017,max_pp
